run,env_seed,step,wins,n_games
run_a,0,20,54,140
run_a,0,30,51,140
run_a,0,40,51,140
run_a,0,50,71,140
run_a,0,60,87,140
run_a,0,70,81,140
run_a,0,80,89,140
run_a,0,90,91,140
run_a,0,100,93,140
run_a,0,110,98,140
run_a,0,120,100,140
run_a,0,130,97,140
run_a,0,140,95,140
run_a,0,150,104,140
run_b,1,10,48,140
run_b,1,20,51,140
run_b,1,140,85,140
run_b,1,150,78,140
run_c,2,10,47,140
run_c,2,140,114,140
run_c,2,150,117,140
base_model_no_training,-,0,10,140
base_model_no_training_repeat,-,0,11,140
